Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2013-2014,2013-2014,2013-2014,,0,,http://reference.data.gov.uk/id/government-quarter/2013-2014
2014-2015,2014-2015,2014-2015,,1,,http://reference.data.gov.uk/id/government-quarter/2014-2015
2015-2016,2015-2016,2015-2016,,2,,http://reference.data.gov.uk/id/government-quarter/2015-2016
2016-2017,2016-2017,2016-2017,,3,,http://reference.data.gov.uk/id/government-quarter/2016-2017
2017-2018,2017-2018,2017-2018,,4,,http://reference.data.gov.uk/id/government-quarter/2017-2018
2018-2019,2018-2019,2018-2019,,5,,http://reference.data.gov.uk/id/government-quarter/2018-2019
2019-2020/q1,2019-2020/Q1,2019-2020/q1,,6,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q1
2019-2020/q2,2019-2020/Q2,2019-2020/q2,,7,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q2
2019-2020/q3,2019-2020/Q3,2019-2020/q3,,8,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q3
2019-2020/q4,2019-2020/Q4,2019-2020/q4,,9,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q4
2020-2021/q1,2020-2021/Q1,2020-2021/q1,,10,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q1
2020-2021/q2,2020-2021/Q2,2020-2021/q2,,11,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q2
2020-2021/q3,2020-2021/Q3,2020-2021/q3,,12,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q3
2020-2021/q4,2020-2021/Q4,2020-2021/q4,,13,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q4
2021-2022/q1,2021-2022/Q1,2021-2022/q1,,14,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q1
2021-2022/q2,2021-2022/Q2,2021-2022/q2,,15,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q2
2021-2022/q3,2021-2022/Q3,2021-2022/q3,,16,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q3
2021-2022/q4,2021-2022/Q4,2021-2022/q4,,17,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q4
2022-2023/q1,2022-2023/Q1,2022-2023/q1,,18,,http://reference.data.gov.uk/id/government-quarter/2022-2023/Q1
2022-2023/q2,2022-2023/Q2,2022-2023/q2,,19,,http://reference.data.gov.uk/id/government-quarter/2022-2023/Q2
2022-2023/q3,2022-2023/Q3,2022-2023/q3,,20,,http://reference.data.gov.uk/id/government-quarter/2022-2023/Q3
2022-2023/q4,2022-2023/Q4,2022-2023/q4,,21,,http://reference.data.gov.uk/id/government-quarter/2022-2023/Q4
