Fin_yr,Period,Fin-period,GB_or_nonGB,Veh_grp,Mech_chcks,Mech_chcks-obs-status,Mch_prhb_issd,Mch_prhb_issd-obs-status,Mch_prhb_rte,Mch_prhb_rte-obs-status,Trffc_chcks,Trffc_chcks-obs-status,Drvrs_hrs_prhb,Drvrs_hrs_prhb-obs-status,Drvrs_hrs_p_rte,Drvrs_hrs_p_rte-obs-status,Off_prhb,Off_prhb-obs-status,Off_prhb_rte,Off_prhb_rte-obs-status,Wght_chcks,Wght_chcks-obs-status,Ovrld_prhb_issd,Ovrld_prhb_issd-obs-status,Ovrld_prhb_rte,Ovrld_prhb_rte-obs-status,Fxd_pnlties,Fxd_pnlties-obs-status,Pnlty_amnt,Pnlty_amnt-obs-status
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,Car,151.0,,86.0,,0.5695,,13.0,,1.0,,0.0769,,4,,0.3077,,4.0,,0.0,,0.0,,3.0,,800.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,Heavy goods vehicle (HGV),5670.0,,1449.0,,0.2556,,5657.0,,158.0,,0.0279,,98,,0.0173,,956.0,,274.0,,0.2866,,799.0,,126900.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,LGV,1157.0,,695.0,,0.6007,,624.0,,10.0,,0.016,,31,,0.0496999999999999,,527.0,,393.0,,0.7456999999999999,,248.0,,50000.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,Non Testable,536.0,,283.0,,0.528,,371.0,,2.0,,0.0054,,0,,0.0,,145.0,,4.0,,0.0276,,9.0,,1200.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,PSV,369.0,,92.0,,0.2493,,246.0,,13.0,,0.0528,,0,,0.0,,0.0,,0.0,,,x,18.0,,2350.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,Taxi,54.0,,41.0,,0.7593000000000001,,1.0,,0.0,,0.0,,0,,0.0,,0.0,,0.0,,,x,0.0,,,x
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,Trailer,2430.0,,703.0,,0.2893,,0.0,,0.0,,,x,0,,,x,5.0,,0.0,,0.0,,0.0,,,x
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,Car,1.0,,1.0,,1.0,,0.0,,0.0,,,x,0,,,x,0.0,,0.0,,,x,0.0,,,x
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,Heavy goods vehicle (HGV),6341.0,,1213.0,,0.1913,,10051.0,,193.0,,0.0192,,247,,0.0246,,1192.0,,233.0,,0.1955,,4071.0,,888150.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,LGV,84.0,,46.0,,0.5476,,112.0,,4.0,,0.0356999999999999,,20,,0.1785999999999999,,84.0,,59.0,,0.7023999999999999,,97.0,,14350.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,Non Testable,39.0,,27.0,,0.6923,,53.0,,0.0,,0.0,,0,,0.0,,22.0,,0.0,,0.0,,0.0,,,x
