Fin_yr,Period,Fin-period,GB_or_nonGB,Veh_grp,Mech_chcks,Mech_chcks-obs-status,Mch_prhb_issd,Mch_prhb_issd-obs-status,Mch_prhb_rte,Mch_prhb_rte-obs-status,Trffc_chcks,Trffc_chcks-obs-status,Drvrs_hrs_prhb,Drvrs_hrs_prhb-obs-status,Drvrs_hrs_p_rte,Drvrs_hrs_p_rte-obs-status,Off_prhb,Off_prhb-obs-status,Off_prhb_rte,Off_prhb_rte-obs-status,Wght_chcks,Wght_chcks-obs-status,Ovrld_prhb_issd,Ovrld_prhb_issd-obs-status,Ovrld_prhb_rte,Ovrld_prhb_rte-obs-status,Fxd_pnlties,Fxd_pnlties-obs-status,Pnlty_amnt,Pnlty_amnt-obs-status
2022 to 2023,Quarter 4: January to March,2022-2023/q4,great-britain,car,151,,86,,0.5695,,13,,1,,0.0769,,4,,0.3077,,4,,0,,0.0,,3,,800.0,
2022 to 2023,Quarter 4: January to March,2022-2023/q4,great-britain,heavy-goods-vehicle-hgv,5670,,1449,,0.2556,,5657,,158,,0.0279,,98,,0.0173,,956,,274,,0.2866,,799,,126900.0,
2022 to 2023,Quarter 4: January to March,2022-2023/q4,great-britain,lgv,1157,,695,,0.6007,,624,,10,,0.016,,31,,0.0496999999999999,,527,,393,,0.7456999999999999,,248,,50000.0,
2022 to 2023,Quarter 4: January to March,2022-2023/q4,great-britain,non-testable,536,,283,,0.528,,371,,2,,0.0054,,0,,0.0,,145,,4,,0.0276,,9,,1200.0,
2022 to 2023,Quarter 4: January to March,2022-2023/q4,great-britain,psv,369,,92,,0.2493,,246,,13,,0.0528,,0,,0.0,,0,,0,,,x,18,,2350.0,
2022 to 2023,Quarter 4: January to March,2022-2023/q4,great-britain,taxi,54,,41,,0.7593000000000001,,1,,0,,0.0,,0,,0.0,,0,,0,,,x,0,,,x
2022 to 2023,Quarter 4: January to March,2022-2023/q4,great-britain,trailer,2430,,703,,0.2893,,0,,0,,,x,0,,,x,5,,0,,0.0,,0,,,x
2022 to 2023,Quarter 4: January to March,2022-2023/q4,non-great-britain,car,1,,1,,1.0,,0,,0,,,x,0,,,x,0,,0,,,x,0,,,x
2022 to 2023,Quarter 4: January to March,2022-2023/q4,non-great-britain,heavy-goods-vehicle-hgv,6341,,1213,,0.1913,,10051,,193,,0.0192,,247,,0.0246,,1192,,233,,0.1955,,4071,,888150.0,
2022 to 2023,Quarter 4: January to March,2022-2023/q4,non-great-britain,lgv,84,,46,,0.5476,,112,,4,,0.0356999999999999,,20,,0.1785999999999999,,84,,59,,0.7023999999999999,,97,,14350.0,
